gene	color	max_enrichment_bins
PSORS1C1	#f1f7fd	1.2811556742820724
PSPN	#f2f7fd	1.2484238776512204
PTAFR	#e0ecf8	1.912941624884731
PTBP1	#eef5fc	1.3997291951817732
PTBP3	#b4d3e9	3.45242048542672
PTCH1	#d6e5f4	2.3594279880568703
PTCH2	#e1edf8	1.8772330653663802
PTCHD2	#dae8f6	2.1663358473615935
PTDSS1	#cee0f2	2.6655160401497686
PTEN	#eff6fc	1.3175316568627382
PTF1A	#e7f0fa	1.6860060992492345
PTGER1	#f3f8fe	1.1639863613293198
PTGER2	#ecf4fb	1.4600257810387318
PTGER3	#f3f8fe	1.1752260138104955
PTGER4	#d8e7f5	2.254916832411624
PTGFR	#ebf3fb	1.497207071295377
PTGFRN	#ebf3fb	1.4698452106875748
PTGR1	#bed8ec	3.1891260124732197
PTGR2	#ecf4fb	1.4384870354422086
PTH	#cfe1f2	2.6464365398319476
PTH2R	#f0f6fd	1.2884241090345894
PTMA	#dce9f6	2.1171107789166292
PTP4A1	#d5e5f4	2.3850333423308303
PTP4A2	#f7fbff	1.008380196182737
PTP4A3	#f1f7fd	1.276964521856364
PTPN12	#f5fafe	1.0916273269483467
PTPN14	#f3f8fe	1.160878773795004
PTPN22	#eef5fc	1.3497105391618727
PTPN4	#f4f9fe	1.1390323118103587
PTPRB	#ecf4fb	1.4567959672447208
PTPRE	#f2f7fd	1.2306933298139742
PTPRK	#e3eef9	1.8024853977778827
PTPRN	#e4eff9	1.7538960170563225
PTPRO	#e0ecf8	1.9262703785335986
PTPRS	#e5eff9	1.737715071658005
PTPRT	#d0e2f2	2.5743462661559744
PTS	#f6faff	1.0575126359724012
PTTG1IP	#dae8f6	2.159607879597647
PTTG2	#f4f9fe	1.1264413760081013
PURA	#f4f9fe	1.130953318512775
PUS10	#e7f0fa	1.6874464356423489
PUS7	#cee0f2	2.6677858561521406
PVR	#f4f9fe	1.1331151181310124
PXDN	#f6faff	1.0456076216499184
PXT1	#dae8f6	2.1786385280228515
PXYLP1	#d1e2f3	2.5457573555328397
PYCRL	#f2f8fd	1.2079469261702598
PYDC2	#e0ecf8	1.9168456231006512
PYURF	#ebf3fb	1.4996768379391718
QRICH2	#eff6fc	1.3356021344738185
QSOX2	#ebf3fb	1.4691110485083123
RAB10	#e1edf8	1.8883456969798387
RAB11A	#d9e8f5	2.195838073225892
RAB11FIP1	#f3f8fe	1.174353443947171
RAB11FIP2	#e6f0f9	1.7158264170440933
RAB11FIP4	#cbdef1	2.801342634980229
RAB11FIP5	#f6faff	1.0605334385243312
RAB14	#e4eff9	1.7560896487436064
RAB15	#eff6fc	1.3342054561292807
